id,date,text,query
539517618064224256,Mon Dec 01 20:33:18 +0000 2014,".@Google's #Penguin hit Website - Moving to new domain http://t.co/alw075CrJK RT @apoguy",#GOOG OR @Google
539517924348674048,Mon Dec 01 20:34:31 +0000 2014,"CNBCTV: #Apple's margins better than expected? #aapl http://t.co/7geVrtOGLK",#AAPL OR @Apple
539518337433468928,Mon Dec 01 20:36:10 +0000 2014,"so what @google are implying is that Google Cardboard won't let you watch any YouTube video haha best developers in the world and what",#GOOG OR @Google
539518373781340161,Mon Dec 01 20:36:18 +0000 2014,"The first thing I always wanna see right before something's due @google http://t.co/9cN57pzgjE",#GOOG OR @Google
539518496045277186,Mon Dec 01 20:36:47 +0000 2014,"Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj #AAPL",#AAPL OR @Apple
539519149324922880,Mon Dec 01 20:39:23 +0000 2014,".@Google please release your default/vanilla Phone Dialer for @Android on @GooglePlay. I cannot stand LG's dialer on G3.",#GOOG OR @Google
539520573215223808,Mon Dec 01 20:45:03 +0000 2014,"#AAPL:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd",#AAPL OR @Apple
539520601913061376,Mon Dec 01 20:45:09 +0000 2014,"Next generation @Google Glass might have @Intel inside: http://t.co/LdKJeRpnn0 via @PCWorld",#GOOG OR @Google
539520818825670656,Mon Dec 01 20:46:01 +0000 2014,"WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple",#AAPL OR @Apple
539521864108736513,Mon Dec 01 20:50:10 +0000 2014,"@Peterson_Agari @FoxBusiness @AgariInc working w/ industry leaders like @google @facebook to protect consumer emails, digital identity",#GOOG OR @Google
539523951685545984,Mon Dec 01 20:58:28 +0000 2014,"American Companies Buying In 'BIG' For @google's New Star Child, @ExhibiaShop #cybermonday #onlineshopping https://t.co/6XtZRR9zNt",#GOOG OR @Google
539524503835926529,Mon Dec 01 21:00:40 +0000 2014,"Apple: Dec 1 Total Trading Daily Profits 10.03/sh  #aapl #Stockaction #trading #Stocks #MKt 
http://t.co/vb2RlFX3aB",#AAPL OR @Apple
539524742810968064,Mon Dec 01 21:01:37 +0000 2014,"The #NASDAQ has closed down 1.34% to 4727 which merely mirrors global stocks today - #AAPL a big loser shedding 3.55% to sub $115",#AAPL OR @Apple
539527842590384128,Mon Dec 01 21:13:56 +0000 2014,"@brittney_stokes i also wanna personally thank @google, homework wouldn't be possible without it",#GOOG OR @Google
539530955766378497,Mon Dec 01 21:26:18 +0000 2014,"RT @JPDesloges: APPLE - Fibonacci Technicals Levels - LAST Intraday  Update - $AAPL #aapl 
http://t.co/575ORylEj5",#AAPL OR @Apple
539532961691881473,Mon Dec 01 21:34:16 +0000 2014,"#News Four Ways Obama Is Trying to Mend Police-Community Relations After Ferguson - ABC News http://t.co/0TGF4MTPaw Vía @Google",#GOOG OR @Google
539533023461404672,Mon Dec 01 21:34:31 +0000 2014,"#News Malia, Sasha, and the turkey brouhaha: When is it OK to criticize presidential kids? - Chri... http://t.co/PYTxmRMGF5 Vía @Google",#GOOG OR @Google
539533202755682305,Mon Dec 01 21:35:14 +0000 2014,"WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK",#AAPL OR @Apple
539536207663726593,Mon Dec 01 21:47:10 +0000 2014,"RT @TanyaKlich: We spoke with @therobertwong of @Google Creative Lab On the Power of Empathy in Tech Advertising http://t.co/IEAsGPf774",#GOOG OR @Google
539536945446404096,Mon Dec 01 21:50:06 +0000 2014,"Because I'm too lazy to caption: 'How @Google 'Translates' Pictures Into Words Using Vector Space Mathematics' http://t.co/geO4zk3ncb",#GOOG OR @Google
539537156960968705,Mon Dec 01 21:50:56 +0000 2014,"Arrrgghh @google why have killed my nexus 7 with your lollipop update? Get it right next time. #ifitsnotbrokedontfixit",#GOOG OR @Google
539538152323825664,Mon Dec 01 21:54:54 +0000 2014,"@GameStop are you still going to be carrying the @Google @Android Nexus 9? GameStop isn't a listed buyer on their site anymore. #Nexus9",#GOOG OR @Google
539540872116051968,Mon Dec 01 22:05:42 +0000 2014,"RT @FortuneMagazine: WATCH: @Google looks to Intel to improve Glass http://t.co/r59f4owjDW",#GOOG OR @Google
539542590929260544,Mon Dec 01 22:12:32 +0000 2014,"RT @oblatesphereoid: @DrJosephRicca @GoogleForEdu @laramalaver @eufsd @google lots of great things happening here...@Schoology",#GOOG OR @Google
539543764985847808,Mon Dec 01 22:17:12 +0000 2014,"Sometimes I really hate trading algorithms. #AAPL",#AAPL OR @Apple
539544644225220608,Mon Dec 01 22:20:42 +0000 2014,"#Apple #AAPL #iPad Shipments Might Slip to 55M Units in 2015 http://t.co/P7PQK4bMe2 via @Street_Insider",#AAPL OR @Apple
539544746939539457,Mon Dec 01 22:21:06 +0000 2014,"'@UberFacts: Google feels GPA's and test scores are worthless for hiring people... http://t.co/NunFzmgRQV' @google hire me",#GOOG OR @Google
